source/a/upload/ :文件夹视频转码服务开启...
source/b/upload/ :文件夹视频转码服务开启...
source/x/upload/ :文件夹视频转码服务开启...
20165519594554vq86614.mp4：视频转码完成进度: 26%
20165519591336vv4562.mp4：视频转码完成进度: 35%
20165519596684.mp4：视频转码完成进度: 28%
20165519596684.mp4：视频转码完成进度: 29%
2016551959w6684.mp4：视频转码完成进度: 29%
20165519591336vv4562.mp4：视频转码完成进度: 36%
20165519596684.mp4：视频转码完成进度: 29%
2016551959w6684.mp4：视频转码完成进度: 30%
20165519594554vq86614.mp4：视频转码完成进度: 25%
20165519594554vq86614.mp4：视频转码完成进度: 26%
20165519596684.mp4：视频转码完成进度: 29%
20165519591336vv4562.mp4：视频转码完成进度: 36%
20165519591336vv4562.mp4：视频转码完成进度: 37%
2016551959w6684.mp4：视频转码完成进度: 30%
20165519596684.mp4：视频转码完成进度: 29%
20165519591336vv4562.mp4：视频转码完成进度: 36%
20165519594554vq86614.mp4：视频转码完成进度: 27%
2016551959w6684.mp4：视频转码完成进度: 30%
20165519596684.mp4：视频转码完成进度: 30%
20165519594554vq86614.mp4：视频转码完成进度: 26%
20165519591336vv4562.mp4：视频转码完成进度: 38%
20165519594554vq86614.mp4：视频转码完成进度: 28%
2016551959w6684.mp4：视频转码完成进度: 31%
20165519596684.mp4：视频转码完成进度: 30%
20165519591336vv4562.mp4：视频转码完成进度: 38%
20165519594554vq86614.mp4：视频转码完成进度: 26%
2016551959w6684.mp4：视频转码完成进度: 31%
20165519591336vv4562.mp4：视频转码完成进度: 39%
2016551959w6684.mp4：视频转码完成进度: 31%
20165519596684.mp4：视频转码完成进度: 31%
20165519596684.mp4：视频转码完成进度: 31%
20165519594554vq86614.mp4：视频转码完成进度: 27%
20165519594554vq86614.mp4：视频转码完成进度: 29%
2016551959w6684.mp4：视频转码完成进度: 31%
20165519591336vv4562.mp4：视频转码完成进度: 39%
20165519591336vv4562.mp4：视频转码完成进度: 39%
20165519594554vq86614.mp4：视频转码完成进度: 30%
2016551959w6684.mp4：视频转码完成进度: 32%
20165519596684.mp4：视频转码完成进度: 32%
20165519596684.mp4：视频转码完成进度: 31%
2016551959w6684.mp4：视频转码完成进度: 32%
20165519594554vq86614.mp4：视频转码完成进度: 29%
20165519591336vv4562.mp4：视频转码完成进度: 39%
2016551959w6684.mp4：视频转码完成进度: 33%
20165519596684.mp4：视频转码完成进度: 33%
20165519591336vv4562.mp4：视频转码完成进度: 41%
20165519594554vq86614.mp4：视频转码完成进度: 30%
20165519596684.mp4：视频转码完成进度: 32%
2016551959w6684.mp4：视频转码完成进度: 33%
20165519591336vv4562.mp4：视频转码完成进度: 41%
2016551959w6684.mp4：视频转码完成进度: 34%
20165519594554vq86614.mp4：视频转码完成进度: 29%
20165519596684.mp4：视频转码完成进度: 34%
20165519594554vq86614.mp4：视频转码完成进度: 30%
20165519591336vv4562.mp4：视频转码完成进度: 42%
20165519596684.mp4：视频转码完成进度: 33%
20165519594554vq86614.mp4：视频转码完成进度: 30%
2016551959w6684.mp4：视频转码完成进度: 34%
20165519591336vv4562.mp4：视频转码完成进度: 42%
2016551959w6684.mp4：视频转码完成进度: 35%
20165519596684.mp4：视频转码完成进度: 35%
20165519594554vq86614.mp4：视频转码完成进度: 31%
20165519591336vv4562.mp4：视频转码完成进度: 43%
2016551959w6684.mp4：视频转码完成进度: 35%
2016551959w6684.mp4：视频转码完成进度: 35%
20165519596684.mp4：视频转码完成进度: 34%
20165519594554vq86614.mp4：视频转码完成进度: 30%
20165519594554vq86614.mp4：视频转码完成进度: 32%
20165519591336vv4562.mp4：视频转码完成进度: 44%
20165519591336vv4562.mp4：视频转码完成进度: 45%
20165519596684.mp4：视频转码完成进度: 36%
2016551959w6684.mp4：视频转码完成进度: 36%
20165519594554vq86614.mp4：视频转码完成进度: 30%
20165519596684.mp4：视频转码完成进度: 35%
20165519596684.mp4：视频转码完成进度: 36%
2016551959w6684.mp4：视频转码完成进度: 36%
20165519594554vq86614.mp4：视频转码完成进度: 33%
20165519591336vv4562.mp4：视频转码完成进度: 45%
20165519591336vv4562.mp4：视频转码完成进度: 45%
20165519594554vq86614.mp4：视频转码完成进度: 31%
2016551959w6684.mp4：视频转码完成进度: 36%
20165519594554vq86614.mp4：视频转码完成进度: 33%
2016551959w6684.mp4：视频转码完成进度: 36%
20165519596684.mp4：视频转码完成进度: 36%
20165519596684.mp4：视频转码完成进度: 36%
20165519591336vv4562.mp4：视频转码完成进度: 46%
2016551959w6684.mp4：视频转码完成进度: 37%
20165519591336vv4562.mp4：视频转码完成进度: 46%
20165519594554vq86614.mp4：视频转码完成进度: 32%
20165519596684.mp4：视频转码完成进度: 36%
2016551959w6684.mp4：视频转码完成进度: 37%
20165519594554vq86614.mp4：视频转码完成进度: 33%
20165519596684.mp4：视频转码完成进度: 37%
20165519591336vv4562.mp4：视频转码完成进度: 48%
2016551959w6684.mp4：视频转码完成进度: 38%
20165519591336vv4562.mp4：视频转码完成进度: 48%
20165519594554vq86614.mp4：视频转码完成进度: 33%
2016551959w6684.mp4：视频转码完成进度: 38%
20165519594554vq86614.mp4：视频转码完成进度: 34%
20165519596684.mp4：视频转码完成进度: 37%
20165519596684.mp4：视频转码完成进度: 38%
20165519591336vv4562.mp4：视频转码完成进度: 49%
2016551959w6684.mp4：视频转码完成进度: 39%
2016551959w6684.mp4：视频转码完成进度: 39%
20165519591336vv4562.mp4：视频转码完成进度: 49%
20165519594554vq86614.mp4：视频转码完成进度: 33%
20165519596684.mp4：视频转码完成进度: 38%
20165519594554vq86614.mp4：视频转码完成进度: 34%
2016551959w6684.mp4：视频转码完成进度: 40%
20165519591336vv4562.mp4：视频转码完成进度: 50%
20165519591336vv4562.mp4：视频转码完成进度: 50%
20165519596684.mp4：视频转码完成进度: 40%
20165519594554vq86614.mp4：视频转码完成进度: 35%
20165519596684.mp4：视频转码完成进度: 39%
2016551959w6684.mp4：视频转码完成进度: 40%
20165519594554vq86614.mp4：视频转码完成进度: 34%
20165519591336vv4562.mp4：视频转码完成进度: 50%
20165519591336vv4562.mp4：视频转码完成进度: 51%
2016551959w6684.mp4：视频转码完成进度: 40%
20165519596684.mp4：视频转码完成进度: 40%
2016551959w6684.mp4：视频转码完成进度: 40%
20165519594554vq86614.mp4：视频转码完成进度: 36%
2016551959w6684.mp4：视频转码完成进度: 41%
20165519596684.mp4：视频转码完成进度: 40%
20165519594554vq86614.mp4：视频转码完成进度: 34%
20165519596684.mp4：视频转码完成进度: 41%
20165519591336vv4562.mp4：视频转码完成进度: 52%
20165519591336vv4562.mp4：视频转码完成进度: 52%
20165519596684.mp4：视频转码完成进度: 40%
2016551959w6684.mp4：视频转码完成进度: 41%
20165519594554vq86614.mp4：视频转码完成进度: 36%
2016551959w6684.mp4：视频转码完成进度: 41%
20165519594554vq86614.mp4：视频转码完成进度: 34%
2016551959w6684.mp4：视频转码完成进度: 42%
20165519591336vv4562.mp4：视频转码完成进度: 53%
20165519591336vv4562.mp4：视频转码完成进度: 53%
20165519596684.mp4：视频转码完成进度: 40%
20165519596684.mp4：视频转码完成进度: 42%
20165519594554vq86614.mp4：视频转码完成进度: 35%
2016551959w6684.mp4：视频转码完成进度: 42%
20165519591336vv4562.mp4：视频转码完成进度: 54%
20165519594554vq86614.mp4：视频转码完成进度: 37%
